"taxon","Cyt-b","16S","Rag-1","12S","Rhod"
"Thoropa_miliaris","FJ685662","FJ685682","FJ685702","KF214095","KF214197"
"Cycloramphus_acangatan","FJ685663","FJ685683","FJ685703","KF214096","KF214198"
"Macrogenioglottus_alipioi_1","FJ685664","FJ685684","FJ685704","KF214097","KF214199"
"Macrogenioglottus_alipioi_2","FJ685665","FJ685685","FJ685705","KF214098","KF214200"
"Odontophrynus_americanus","FJ685666","FJ685686","FJ685706","KF214099","KF214201"
"Odontophrynus_carvalhoi","FJ685667","FJ685687","FJ685707","KF214100","KF214202"
"Odontophrynus_cultripes","FJ685668","FJ685688","FJ685708","KF214101","KF214203"
"Proceratophrys_appendiculata_1",,"KF214152","KF214188","KF214129","KF214230"
"Proceratophrys_appendiculata_2","KF214172","KF214151","KF214189","KF214130","KF214231"
"Proceratophrys_appendiculata_3","KF214173","KF214153","KF214190","KF214131","KF214232"
"Proceratophrys_avelinoi","FJ685671","FJ685691","FJ685711","KF214102","KF214204"
"Proceratophrys_belzebul_1","KF214174","KF214154","KF214191","KF214132","KF214233"
"Proceratophrys_belzebul_2",,"KF214156","KF214193","KF214134","KF214234"
"Proceratophrys_belzebul_3","KF214175","KF214155","KF214192","KF214133",
"Proceratophrys_bigibbosa","FJ685673","FJ685693","FJ685713","KF214103","KF214205"
"Proceratophrys_boiei","FJ685672","FJ685692","FJ685712","KF214104","KF214206"
"Proceratophrys_concavitympanum","FJ685674","FJ685694","FJ685714","KF214105","KF214207"
"Proceratophrys_cristiceps","FJ685675","FJ685695","FJ685715","KF214106","KF214208"
"Proceratophrys_cururu","FJ685676","FJ685696","FJ685716","KF214107","KF214209"
"Proceratophrys_goyana","FJ685677","FJ685697","FJ685717","KF214108","KF214210"
"Proceratophrys_izecksohni",,"KF214157","KF214194","KF214135","KF214235"
"Proceratophrys_laticeps","FJ685678","FJ685698","FJ685718","KF214109","KF214211"
"Proceratophrys_melanopogon_1","FJ685679","FJ685699","FJ685719","KF214119","KF214221"
"Proceratophrys_melanopogon_2","JX987065","JX987066","JX987067","KF214115","KF214217"
"Proceratophrys_melanopogon_3","KF214161","KF214139","KF214179","KF214116","KF214218"
"Proceratophrys_melanopogon_4","KF214162","KF214140",,"KF214117","KF214219"
"Proceratophrys_melanopogon_5","KF214163","KF214141","KF214180","KF214118","KF214220"
"Proceratophrys_melanopogon_6","KF214164","KF214142","KF214181","KF214120","KF214239"
"Proceratophrys_melanopogon_7",,"KF214143","KF214182","KF214121","KF214222"
"Proceratophrys_melanopogon_8","KF214165","KF214144","KF214183","KF214122","KF214223"
"Proceratophrys_melanopogon_9","KF214166","KF214145","KF214184","KF214123","KF214224"
"Proceratophrys_melanopogon_10","KF214167","KF214146","KF214185","KF214124","KF214225"
"Proceratophrys_melanopogon_11","KF214168","KF214147",,"KF214125","KF214226"
"Proceratophrys_melanopogon_12","KF214169","KF214148","FJ685710","KF214126","KF214227"
"Proceratophrys_melanopogon_13","KF214170","KF214149","KF214186","KF214127","KF214228"
"Proceratophrys_melanopogon_14","KF214171","KF214150","KF214187","KF214128","KF214229"
"Proceratophrys_minuta","JX982961","JX982965","JX982969","KF214113","KF214215"
"Proceratophrys_moratoi","FJ685669","FJ685689","FJ685709","KF214110","KF214212"
"Proceratophrys_redacta","JX982963","JX982966","JX982971","KF214114","KF214216"
"Proceratophrys_renalis","FJ685680","FJ685700","FJ685720","KF214111","KF214213"
"Proceratophrys_schirchi","FJ685681","FJ685701","FJ685721","KF214112","KF214214"
"Proceratophrys_tupinamba_1","KF214176","KF214158","KF214195","KF214136","KF214236"
"Proceratophrys_tupinamba_2","KF214177","KF214159","KF214196","KF214137","KF214237"
"Proceratophrys_tupinamba_3","KF214178","KF214160",,"KF214138","KF214238"
